name,aliases,kind,ra,dec,maj_arcmin,min_arcmin,s1400_jy,hi_emitter,dist_mpc,hi_mass_msun,vsys_kms,w50_kms,notes
Cassiopeia A,3C 461|G111.7-2.1,snr,23 23 24.0,+58 48 54,5.5,5.5,1600,0,,,,,Brightest radio source in the sky after the Sun. Flux decays ~0.7 percent per year
Cygnus A,3C 405,radio_galaxy,19 59 28.36,+40 44 02.1,2.0,1.0,1580,0,,,,,Classic FR-II double. Near the zenith strip for mid-northern sites
Taurus A,Crab Nebula|M1|3C 144,snr,05 34 31.94,+22 00 52.2,7.0,5.0,875,0,,,,,Pulsar wind nebula. Flux decays ~0.17 percent per year
Virgo A,M87|3C 274,radio_galaxy,12 30 49.42,+12 23 28.0,14.0,14.0,212,0,16.5,,1284,,Giant elliptical with a jet
Orion A,M42|NGC 1976,hii,05 35 17.3,-05 23 28,5.0,5.0,400,0,,,,,Nearest massive star-forming region
Omega Nebula,M17|W38,hii,18 20 26.0,-16 10 36,6.0,6.0,500,0,,,,,Bright southern HII region
W51,G49.5-0.4,hii,19 23 50.0,+14 06 00,30.0,30.0,180,0,,,,,Giant HII complex in the inner Galaxy
W44,3C 392|G34.7-0.4,snr,18 56 00.0,+01 22 00,35.0,27.0,230,0,,,,,Mixed-morphology SNR
Gamma Cygni SNR,G78.2+2.1,snr,20 20 50.0,+40 26 00,60.0,60.0,340,0,,,,,Large shell inside Cygnus X
HB 21,G89.0+4.7,snr,20 45 00.0,+50 35 00,120.0,90.0,220,0,,,,,Large evolved SNR
Cygnus Loop,Veil Nebula|G74.0-8.5,snr,20 51 00.0,+30 40 00,180.0,160.0,175,0,,,,,Nearby 3-degree shell. Declination sits in many mid-northern zenith strips
IC 443,3C 157|G189.1+3.0,snr,06 17 00.0,+22 34 00,45.0,45.0,160,0,,,,,SNR interacting with a molecular cloud
W63,G82.2+5.3,snr,20 14 30.0,+45 45 00,95.0,65.0,120,0,,,,,Faint large shell
W3,IC 1795,hii,02 25 40.0,+62 05 52,15.0,15.0,90,0,,,,,Perseus-arm star-forming complex
CTB 80,G69.0+2.7,snr,19 53 00.0,+32 55 00,60.0,60.0,65,0,,,,,Pulsar-driven SNR near the zenith strip
Tycho SNR,3C 10|G120.1+1.4,snr,00 25 21.5,+64 08 27,8.0,8.0,56,0,,,,,Historical supernova of 1572
W49,G43.3-0.2,hii,19 10 17.0,+09 06 00,5.0,5.0,55,0,,,,,Ultracompact HII region complex
S147,G180.0-1.7,snr,05 39 00.0,+27 50 00,180.0,180.0,45,0,,,,,Very large faint shell. Steep spectrum
HB 9,G160.9+2.6,snr,05 01 00.0,+46 40 00,140.0,120.0,55,0,,,,,Evolved shell SNR
Kepler SNR,3C 358|G4.5+6.8,snr,17 30 42.0,-21 29 00,3.0,3.0,19,0,,,,,Historical supernova of 1604
Sagittarius A,Galactic Centre,hii,17 45 40.04,-29 00 28.1,3.0,3.0,110,0,,,,,Galactic nucleus. Never rises high from mid-northern latitudes
North America Nebula,NGC 7000,hii,20 58 48.0,+44 20 00,120.0,100.0,200,0,,,,,Part of the Cygnus X complex. Flux approximate
California Nebula,NGC 1499|Sh2-220,hii,04 03 18.0,+36 25 18,145.0,40.0,40,0,,,,,Declination lands almost exactly on the Durham zenith
Rosette Nebula,NGC 2237|Sh2-275,hii,06 31 57.0,+04 57 00,80.0,80.0,40,0,,,,,Large HII ring
IC 1805,Heart Nebula|W4,hii,02 32 42.0,+61 27 00,60.0,60.0,40,0,,,,,Perseus-arm HII region
DR 21,Cygnus X,hii,20 39 01.0,+42 19 26,1.0,1.0,20,0,,,,,Compact bright HII region in Cygnus X
Cygnus X complex,,hii,20 30 00.0,+41 00 00,360.0,300.0,900,0,,,,,Blended star-forming complex. Total flux is a rough sum over 5 degrees
3C 353,,radio_galaxy,17 20 28.15,-00 58 47.1,5.0,2.0,57,0,,,,,
3C 123,,radio_galaxy,04 37 04.38,+29 40 13.8,0.4,0.2,47,0,,,,,Standard flux calibrator
Hercules A,3C 348,radio_galaxy,16 51 08.15,+04 59 33.3,3.0,1.0,45,0,,,,,
Hydra A,3C 218,radio_galaxy,09 18 05.65,-12 05 44.0,3.0,1.0,43,0,,,,,
3C 273,,quasar,12 29 06.70,+02 03 08.6,0.1,0.1,42,0,,,,,Nearest luminous quasar. Variable
3C 84,Perseus A|NGC 1275,radio_galaxy,03 19 48.16,+41 30 42.1,0.5,0.5,23,0,,,,,Strongly variable blazar-like nucleus
3C 147,,quasar,05 42 36.14,+49 51 07.2,0.1,0.1,22,0,,,,,Standard flux calibrator
3C 295,,radio_galaxy,14 11 20.52,+52 12 09.5,0.1,0.1,22,0,,,,,Standard flux calibrator
3C 161,,radio_galaxy,06 27 10.10,-05 53 05.0,0.1,0.1,19,0,,,,,
3C 48,,quasar,01 37 41.30,+33 09 35.1,0.1,0.1,16,0,,,,,Standard flux calibrator
3C 286,,quasar,13 31 08.29,+30 30 33.0,0.1,0.1,15,0,,,,,Primary polarisation and flux calibrator
3C 196,,quasar,08 13 36.06,+48 13 02.6,0.1,0.1,14,0,,,,,
3C 380,,quasar,18 29 31.78,+48 44 46.7,0.1,0.1,14,0,,,,,
3C 111,,radio_galaxy,04 18 21.28,+38 01 35.8,0.5,0.2,8,0,,,,,Variable
NGC 7027,,planetary_nebula,21 07 01.6,+42 14 10,0.2,0.2,5.4,0,,,,,Bright compact planetary nebula. Good small-dish calibrator
Andromeda Galaxy,M31|NGC 224,galaxy,00 42 44.33,+41 16 07.5,190.0,60.0,3.7,1,0.785,4.5e9,-300,531,Largest HI angular extent of any external galaxy. The realistic extragalactic HI target for a small dish
Triangulum Galaxy,M33|NGC 598,galaxy,01 33 50.90,+30 39 36.6,71.0,42.0,3.3,1,0.84,1.5e9,-179,200,Second-best extragalactic HI target from northern latitudes
Bode's Galaxy,M81|NGC 3031,galaxy,09 55 33.17,+69 03 55.1,27.0,14.0,4.0,1,3.63,2.4e9,-34,430,HI extends far beyond the optical disk into the M81 group
Cigar Galaxy,M82|NGC 3034,galaxy,09 55 52.72,+69 40 45.8,11.0,4.0,7.4,1,3.60,8.0e8,203,190,Starburst. Strong continuum for its size
IC 342,Hidden Galaxy,galaxy,03 46 48.5,+68 05 46,21.0,21.0,2.6,1,3.3,2.3e9,31,180,Heavily reddened but bright in HI
NGC 2403,,galaxy,07 36 51.4,+65 36 09,22.0,12.0,1.5,1,3.2,2.6e9,131,230,
Pinwheel Galaxy,M101|NGC 5457,galaxy,14 03 12.6,+54 20 57,28.0,27.0,2.0,1,6.9,1.2e10,241,180,Face-on so the HI profile is narrow and the peak flux is high
Whirlpool Galaxy,M51|NGC 5194,galaxy,13 29 52.7,+47 11 43,11.0,7.0,1.4,1,8.6,2.5e9,463,100,
NGC 891,,galaxy,02 22 33.4,+42 20 57,14.0,2.5,0.7,1,9.9,4.1e9,528,440,Edge-on. Wide double-horned HI profile
NGC 6946,Fireworks Galaxy,galaxy,20 34 52.3,+60 09 14,11.0,10.0,1.4,1,5.9,3.5e9,48,180,
M106,NGC 4258,galaxy,12 18 57.5,+47 18 14,19.0,7.0,1.4,1,7.6,2.9e9,448,430,
M94,NGC 4736,galaxy,12 50 53.1,+41 07 14,11.0,9.0,1.2,1,4.4,4.0e8,308,110,
Sunflower Galaxy,M63|NGC 5055,galaxy,13 15 49.3,+42 01 45,12.0,7.0,0.5,1,8.9,4.0e9,496,390,
